,name,start,end,size
263,6e6-idx.duckdb,1064960,1130496,65536
264,2e6-idx.duckdb,540672,606208,65536
265,5e5.duckdb,1310720,1327104,16384
266,2e5-idx.duckdb,1392640,2441216,1048576
267,1e6-idx.duckdb,540672,606208,65536
268,2e6.duckdb,868352,1916928,1048576
269,4e6-idx.duckdb,1130496,1392640,262144
270,1e6.duckdb,606208,868352,262144
271,2e6-idx.duckdb,606208,868352,262144
272,4e6.duckdb,868352,1916928,1048576
273,5e5-idx.duckdb,1654784,1916928,262144
274,6e6-idx.duckdb,1130496,1392640,262144
275,6e6.duckdb,524288,540672,16384
276,1e6.duckdb,868352,1916928,1048576
277,2e6-idx.duckdb,868352,1916928,1048576
278,5e5.duckdb,1327104,1392640,65536
279,2e6.duckdb,1392640,2441216,1048576
280,1e6-idx.duckdb,606208,868352,262144
281,4e6-idx.duckdb,16384,81920,65536
282,5e5-idx.duckdb,524288,540672,16384
283,6e6.duckdb,540672,606208,65536
284,5e5.duckdb,1392640,1654784,262144
285,1e6.duckdb,1916928,6111232,4194304
286,5e5-idx.duckdb,540672,606208,65536
287,4e6-idx.duckdb,81920,344064,262144
288,2e6-idx.duckdb,1916928,6111232,4194304
289,6e6.duckdb,606208,868352,262144
290,5e5.duckdb,1916928,2965504,1048576
291,5e5-idx.duckdb,606208,868352,262144
292,4e6-idx.duckdb,1572864,1589248,16384
293,6e6-idx.duckdb,16384,81920,65536
294,6e6.duckdb,868352,1916928,1048576
295,5e5-idx.duckdb,868352,1916928,1048576
296,1e6-idx.duckdb,868352,1916928,1048576
297,4e6-idx.duckdb,1589248,1654784,65536
298,5e5.duckdb,2965504,7159808,4194304
299,6e6-idx.duckdb,81920,344064,262144
300,6e6.duckdb,1392640,2441216,1048576
301,6e6-idx.duckdb,1572864,1589248,16384
302,4e6-idx.duckdb,1654784,1916928,262144
303,2e6.duckdb,2441216,6635520,4194304
304,5e5-idx.duckdb,1392640,2441216,1048576
305,6e6-idx.duckdb,1589248,1654784,65536
306,2e5.duckdb,1916928,2965504,1048576
307,6e6-idx.duckdb,1654784,1916928,262144
308,1e6.duckdb,2703360,6897664,4194304
309,6e6.duckdb,2441216,6635520,4194304
310,6e6-idx.duckdb,524288,540672,16384
311,2e5-idx.duckdb,2441216,6635520,4194304
312,2e5.duckdb,2965504,7159808,4194304
313,6e6-idx.duckdb,540672,606208,65536
314,4e6-idx.duckdb,524288,540672,16384
315,6e6-idx.duckdb,606208,868352,262144
316,4e6-idx.duckdb,540672,606208,65536
317,5e5.duckdb,2441216,3489792,1048576
318,6e6-idx.duckdb,868352,1916928,1048576
319,4e6-idx.duckdb,606208,868352,262144
320,4e6.duckdb,1392640,2441216,1048576
321,5e5.duckdb,3489792,7684096,4194304
322,6e6-idx.duckdb,1392640,2441216,1048576
323,1e6.duckdb,7340032,7356416,16384
324,1e6.duckdb,7356416,7421952,65536
325,1e6-idx.duckdb,1392640,2441216,1048576
326,4e6-idx.duckdb,868352,1916928,1048576
327,5e5-idx.duckdb,2441216,6635520,4194304
328,1e6.duckdb,7421952,7684096,262144
329,6e6-idx.duckdb,2441216,6635520,4194304
330,4e6.duckdb,2441216,6635520,4194304
331,4e6-idx.duckdb,1392640,2441216,1048576
