,name,start,end,size
101,4e6-idx.duckdb,219430912,219496448,65536
102,1e5-idx.duckdb,5783552,5849088,65536
103,4e6.duckdb,219496448,219688960,192512
104,1e6-idx.duckdb,50593792,50610176,16384
105,1e6.duckdb,50937856,51130368,192512
107,2e6.duckdb,106168320,106184704,16384
108,6e6-idx.duckdb,335626240,335888384,262144
109,1e5.duckdb,4210688,4276224,65536
110,5e5-idx.duckdb,25444352,25509888,65536
111,4e6-idx.duckdb,219496448,219758592,262144
112,2e5.duckdb,6291456,6307840,16384
113,1e5-idx.duckdb,5849088,6111232,262144
114,2e6.duckdb,106184704,106250240,65536
115,2e5-idx.duckdb,10502144,10567680,65536
116,6e6-idx.duckdb,335020032,335036416,16384
117,2e6-idx.duckdb,107560960,107823104,262144
119,6e6.duckdb,332136448,332152832,16384
120,1e6-idx.duckdb,50610176,50675712,65536
122,1e5.duckdb,4276224,4538368,262144
123,2e6.duckdb,106250240,106512384,262144
124,2e5-idx.duckdb,10567680,10829824,262144
125,4e6-idx.duckdb,218890240,218906624,16384
126,1e6.duckdb,6291456,6307840,16384
127,5e5.duckdb,7077888,7094272,16384
128,1e5-idx.duckdb,16384,81920,65536
129,6e6.duckdb,332152832,332218368,65536
130,1e6-idx.duckdb,50675712,50937856,262144
131,2e5.duckdb,6307840,6373376,65536
133,6e6-idx.duckdb,335036416,335101952,65536
134,6e6.duckdb,332218368,332480512,262144
135,2e6-idx.duckdb,107216896,107233280,16384
136,2e6.duckdb,6291456,6307840,16384
137,5e5-idx.duckdb,25509888,25772032,262144
138,2e5-idx.duckdb,10223616,10240000,16384
140,6e6-idx.duckdb,335101952,335364096,262144
141,4e6.duckdb,219152384,219168768,16384
142,4e6-idx.duckdb,218906624,218972160,65536
143,1e6-idx.duckdb,51200000,52248576,1048576
144,2e6-idx.duckdb,107233280,107298816,65536
145,6e6.duckdb,332480512,332935168,454656
146,1e6.duckdb,6307840,6373376,65536
147,2e5.duckdb,6373376,6635520,262144
148,1e5-idx.duckdb,81920,344064,262144
149,4e6-idx.duckdb,218972160,219234304,262144
150,2e5-idx.duckdb,10240000,10305536,65536
151,5e5-idx.duckdb,25165824,25182208,16384
152,2e6-idx.duckdb,107298816,107560960,262144
154,4e6-idx.duckdb,219234304,220282880,1048576
155,1e6.duckdb,6373376,6635520,262144
156,2e6.duckdb,6307840,6373376,65536
157,4e6.duckdb,219168768,219234304,65536
158,6e6.duckdb,6553600,6569984,16384
160,1e5.duckdb,344064,1392640,1048576
161,5e5.duckdb,7094272,7159808,65536
162,5e5-idx.duckdb,25182208,25247744,65536
163,2e5-idx.duckdb,10305536,10567680,262144
166,5e5-idx.duckdb,25247744,25509888,262144
168,2e5.duckdb,1048576,1064960,16384
169,1e6.duckdb,1310720,1327104,16384
170,2e6.duckdb,6373376,6635520,262144
171,1e5-idx.duckdb,6111232,7090176,978944
172,4e6-idx.duckdb,219758592,220807168,1048576
173,4e6.duckdb,219234304,219496448,262144
174,6e6-idx.duckdb,335364096,336412672,1048576
175,2e6-idx.duckdb,107823104,108871680,1048576
176,6e6.duckdb,6569984,6635520,65536
178,2e5-idx.duckdb,10829824,11878400,1048576
179,5e5.duckdb,7159808,7421952,262144
180,1e5.duckdb,1392640,5517312,4124672
181,1e6-idx.duckdb,55574528,55590912,16384
182,1e6.duckdb,1327104,1392640,65536
184,5e5-idx.duckdb,25772032,26820608,1048576
185,5e5.duckdb,1572864,1589248,16384
186,2e6-idx.duckdb,118226944,118243328,16384
187,1e6.duckdb,1392640,1654784,262144
188,4e6-idx.duckdb,247726080,247742464,16384
189,1e6-idx.duckdb,55590912,55656448,65536
190,2e5.duckdb,1064960,1130496,65536
191,1e6.duckdb,16384,81920,65536
192,4e6.duckdb,7340032,7356416,16384
193,5e5.duckdb,1589248,1654784,65536
194,1e6-idx.duckdb,55656448,55918592,262144
195,2e5.duckdb,1130496,1392640,262144
197,2e6.duckdb,1048576,1064960,16384
198,6e6.duckdb,6635520,6897664,262144
199,1e6.duckdb,81920,344064,262144
200,5e5.duckdb,1654784,1916928,262144
201,1e6-idx.duckdb,55918592,56967168,1048576
202,2e5.duckdb,16384,81920,65536
203,1e5-idx.duckdb,5505024,5521408,16384
204,4e6-idx.duckdb,247742464,247808000,65536
205,6e6-idx.duckdb,335888384,336936960,1048576
206,2e5-idx.duckdb,6291456,6307840,16384
207,1e6.duckdb,1654784,2703360,1048576
